"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"산업중분류별(1)",산업중분류별(2),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?)
"제조업",고무제품제조업,3824,65071,588,7,0.90,1.08,3910,64608,688,9,1.06,1.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",유리제조업,1963,27925,205,4,0.73,1.43,1976,26830,193,5,0.72,1.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",유리·도자기·시멘트제조업,-,-,-,-,-,-,-,-,-,-,-,-,5998,81079,675,35,0.83,4.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",도자기 및 기타요업제품 제조업,3641,47228,390,19,0.83,4.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",도자기·기타요업제품·시멘트제조업,-,-,-,-,-,-,3988,55835,476,23,0.85,4.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",시멘트제조업,244,7243,49,1,0.68,1.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",비금속광물제품 및 금속제품제조업 또는 금속가공업,48390,372076,5079,95,1.37,2.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구·비금속광물제품·금속제품제조업 또는 금속가공업,-,-,-,-,-,-,122564,941907,9485,159,1.01,1.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구 비금속광물 및 금속제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,165675,1462709,13764,246,0.94,1.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구·금속·비금속광물제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,173104,1508517,14121,256,0.94,1.70,175565,1479648,14891,272,1.01,1.84,180509,1495569,14616,253,0.98,1.69
"제조업",금속제련업,281,41529,83,9,0.20,2.17,268,41076,121,8,0.29,1.95,268,41402,152,2,0.37,0.48,275,42654,167,11,0.39,2.58,289,43138,275,16,0.64,3.71,282,42318,302,9,0.71,2.13
"제조업",도금업,6385,65158,428,11,0.66,1.69,6759,67272,491,10,0.73,1.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구제조업,68932,545597,3873,57,0.71,1.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구제조업,20850,235737,654,8,0.28,0.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·전자제품·계량기·광학기계·기타정밀기구 제조업,-,-,-,-,-,-,49465,926360,1512,34,0.16,0.37,50318,906585,1701,39,0.19,0.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·정밀기구·전자제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53811,914017,1725,25,0.19,0.27,54267,909307,1914,31,0.21,0.34,55337,920677,1941,29,0.21,0.31
"제조업",전자제품제조업,16805,570887,463,19,0.08,0.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",선박건조 및 수리업,7393,198328,1953,29,0.98,1.46,7407,169455,1848,26,1.09,1.53,7351,143999,2306,29,1.60,2.01,7466,143446,2492,28,1.74,1.95,7298,137123,3125,40,2.28,2.92,7609,127758,3336,47,2.61,3.68
